rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
270,0,0,0,13.1,7.9,18.8,0,0,1
215,0,0,0,13.7,8.9,18.5,0,0,0.5
255,0,0,0,13.9,10.3,19,0,0,0.6
290,0,1,0,15.6,10.8,21.1,0,0,0.9
375,1,1,0,15.6,11.5,21,0,0,0.6
275,1,0,1,14.7,11.4,19.6,0,0,0.4
210,0,0,1,15.6,10.5,21.7,0,0,0.2
210,0,0,0,16.4,11.9,21.4,0,0,0.2
305,0,0,0,15.9,13.2,19.5,0,0,0.2
355,0,0,0,17.9,13.5,21.5,0,0,1.5
225,0,1,0,16.4,12.3,21.2,0,0,1
210,1,1,0,9.8,7.2,13.7,0,0,1.5
75,1,0,1,10,4.2,15.6,0,0,0.9
75,0,0,1,12.4,6.3,16.7,2,1,1.6
270,0,0,0,11.5,7.4,17,0.5,1,0.9
285,0,0,0,10,4.7,15.5,0,0,0.6
185,0,0,0,14.3,8.3,18.7,0,0,1
285,0,1,0,13.3,9.9,17.9,0,0,0.7
465,1,1,0,13.1,7.4,18.6,0,0,0.5
380,1,0,1,13.4,9.1,19.1,0,0,0.8
560,0,0,1,11.9,8,17.2,0,0,0.6
405,0,0,0,11.1,7.6,16.4,0,0,0.6
405,0,0,0,10.4,5.3,15.8,0,0,0.6
340,0,0,0,8.8,4.3,12.6,0,0,1.4
370,0,1,0,5.8,0.6,11.3,0,0,0.9
340,1,1,0,8.3,2.6,14.6,0,0,0.8
185,1,0,1,10,5.6,14.7,16,1,1.2
185,0,0,1,10.9,7.2,14.8,1,1,1.3
325,0,0,0,8.9,4.6,14.5,0,0,0.7
240,0,0,0,7.7,4.1,11.8,13,1,2.1
410,0,0,0,1.3,-0.7,4.3,0,0,1.9
240,0,1,0,6.7,1.3,8.5,24,1,1.6
410,1,1,0,6.1,3.5,11.1,0,0,0.3
295,1,0,1,9.1,5,13.2,41,1,1.1
295,0,0,1,5.4,1.5,13.6,17,1,2.3
480,0,0,0,1.1,-2.5,3.8,0,0,1.6
75,0,0,0,0.3,-3.9,4.5,0,0,0.8
160,0,0,0,4.5,-1.8,9.2,0,0,0.6
75,0,1,0,8.7,3,15.3,0,0,0.6
495,1,1,0,11.4,6.1,16.5,0,0,1
300,1,0,1,9.9,5.1,17.5,5,1,1.4
310,0,0,1,2,-0.4,5.2,0,0,1.4
200,0,0,0,6.7,1.1,12.5,0,0,0.9
300,0,0,0,3.7,0.2,7,0,0,1.9
295,0,0,0,3.5,-0.6,9,0,0,0.6
0,0,1,0,1.5,-2.4,6,0,0,1.1
300,1,1,0,4.2,-1.7,9.9,0,0,0.4
400,1,0,1,4.8,2.3,6.8,5,1,0.5
130,0,0,1,0.7,-2.6,3.6,0,0,2.1
75,0,0,0,0.7,-5.2,4.4,2,1,0.9
290,0,0,0,1.6,-2.4,6.9,0,0,0.8
250,0,0,0,-3.7,-8.7,0.6,0,0,2.2
235,0,1,0,-6.7,-12.4,-1.8,0,0,0.7
195,1,1,0,-2.2,-7.3,1.8,0,0,0.3
0,1,0,1,-1.4,-5.6,3.8,0,0,0.2
0,0,0,1,4.3,-2.3,8.5,0,0,1.3
195,0,0,0,8.3,4.4,10.9,2,1,1.5
145,0,0,0,6.8,1.1,10,0,0,2.6
230,0,0,0,-0.4,-3,2.6,0,0,1.6
230,0,1,0,2.2,-4.3,6,1,1,2
510,1,1,0,2.5,0.1,6.8,0,0,1.7
225,1,0,1,4.4,-1.2,10.8,0,0,0.9
240,0,0,1,7.8,1.3,13,0,0,0.8
130,0,0,0,8.7,4,12,11.5,1,2.1
510,0,0,0,1.4,-1.2,4.3,0,0,1.2
375,0,0,0,-0.4,-3.6,2.5,0,0,1.4
290,0,1,0,-1.4,-4.8,1.7,0,0,0.8
345,1,1,0,-0.9,-5.4,3.3,0,0,0.9
0,1,0,1,3.5,-0.4,7.1,0,0,0.7
295,0,0,1,3.6,-0.4,5.5,4.5,1,1.1
330,0,1,0,0.3,-2.8,5.5,0,0,0.5
320,1,0,0,1.7,-2.8,7,0,0,0.4
0,0,0,1,2.4,-1.2,4.3,2,1,1.3
265,0,1,0,-1.6,-5.2,2.1,0,0,1.1
375,1,1,0,0.8,-4.2,6,0,0,1
305,1,0,1,4.1,-0.3,7.1,1,1,1.3
310,0,0,1,3.1,-4.6,7.9,0.5,1,1.3
545,0,1,0,-8.2,-11.6,-4.6,0,0,2
