rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
45000,1,1,0,23.4,16.1,29.4,0,0,1.2
000,1,0,1,23.7,17.2,29.6,0,0,1.2
28000,0,0,1,24,18.7,31,0,0,1.3
22000,0,0,0,24.5,16.8,31.8,0,0,1
36500,0,0,0,24.2,19.7,28,0,0,1
50000,0,0,0,24.8,21.5,31.1,0,0,0.7
11500,0,1,0,23.5,20.7,28,0,0,0.7
43000,1,1,0,22.3,19.1,26.9,2,1,0.9
31000,1,0,1,23.4,19.8,28.6,0,0,0.8
28000,0,0,1,22.9,19,28.6,0,0,1
26500,0,0,0,23.5,18.2,30.8,0,0,1.1
28000,0,0,0,22.9,18.4,27.2,0,0,0.9
13000,0,0,0,24.5,17.8,32.7,0,0,1.2
38500,0,1,0,26.8,18.9,34.7,0,0,1.2
34000,1,1,0,28.8,22.2,34.8,0,0,1.7
42500,1,0,1,26,22.8,30.8,0,0,2
14000,0,0,1,24.2,20.2,30.1,0,0,1.9
000,0,0,0,24.5,18.1,29.5,0,0,1.7
000,0,0,0,22,19,26.3,12.5,1,1.7
22500,0,0,0,21.2,19.1,24.8,6,1,1.5
14500,0,1,0,23,19.2,28.6,0,0,0.9
20000,1,1,0,23.8,20.3,28.9,0,0,1.1
000,1,0,1,24.5,19.3,30.3,0,0,0.8
000,0,0,1,23.2,20.1,26.9,3,1,0.7
000,0,0,0,23.8,21.4,27.7,2,1,0.7
19500,0,0,0,25.1,21.1,29,0,0,0.8
24000,0,0,0,26.1,22.2,32.1,15,1,0.7
6500,0,1,0,27.2,21.7,33.6,0,0,1.2
34500,1,1,0,27.4,24.7,30.4,0.5,1,1.8
14000,1,0,1,25,23.7,28.3,16,1,0.9
18500,0,0,1,26.4,22.9,30.9,0,0,0.7
8500,0,0,0,27.2,22.8,32.2,0,0,0.7
14500,0,0,0,25.4,24.6,27,2,1,0.6
000,0,0,0,25.7,24.9,27.3,11.5,1,0.7
24500,0,1,0,25.2,23.8,27.2,105.5,1,1.1
6500,1,1,0,27.7,24.7,32.8,10,1,0.7
000,1,0,1,25.6,24.7,27,17.5,1,1.5
44500,0,0,1,27.6,24.8,31.3,0,0,1.3
000,0,0,0,28.1,25.8,32,0.5,1,1.6
11500,0,0,0,25.5,23.5,27.2,58.5,1,1.1
12500,0,0,0,26.5,23.1,30.8,62,1,0.8
33500,0,1,0,27.9,23.4,33.7,0,0,0.8
37000,1,1,0,28.1,23,34.8,8.5,1,1.1
41000,1,0,1,27.7,23.3,33.8,0,0,0.9
13000,0,0,1,29.6,24.7,35.1,0,0,0.9
23000,0,0,0,30.4,26.3,35.4,0,0,1.3
000,0,0,0,25.5,23,29.9,10,1,0.8
23000,0,0,0,27.7,23.8,33.2,0,0,0.9
29500,0,1,0,28.4,24.1,33.5,0,0,0.9
53000,1,1,0,29.8,24.7,34.9,0,0,1.3
000,1,0,1,28.9,24.2,33.6,6,1,2.6
